gene,err_spaceflight,err_ground,err_ratio
AT3G27710,0.98320425,0.1783039,5.5142045
AT1G74110,0.5574922,0.101135045,5.512354
AT5G36700,0.8918328,0.16181692,5.5113688
AT1G06225,0.8808511,0.1598375,5.5109158
AT4G09900,0.45369375,0.08244417,5.5030417
AT5G61740,0.71084857,0.1293561,5.4952836
AT1G68040,0.8767794,0.15968335,5.4907374
AT3G47890,0.3528874,0.06431142,5.4871645
AT5G54250,0.48340648,0.088116884,5.4859686
AT4G26740,1.0487891,0.19167453,5.4717183
AT5G54740,1.3358749,0.24445355,5.464739
AT4G27630,0.4324751,0.07920749,5.460027
AT5G42090,0.59834355,0.109621525,5.4582667
AT5G53810,0.7978548,0.14633848,5.4521184
AT2G42250,1.0612575,0.19512533,5.43885
AT4G30730,0.75389683,0.13881081,5.43111
AT5G60220,0.92174286,0.16982718,5.427534
AT5G36000,1.1810813,0.21786724,5.421105
AT2G27800,0.5219766,0.09634213,5.417947
AT4G23350,0.61839795,0.11420163,5.4149656
AT3G13210,0.83600074,0.15454344,5.4094863
AT4G09940,0.64358693,0.11899799,5.4083843
AT3G14640,0.7456115,0.13815473,5.39693
AT5G45120,0.60398984,0.11215751,5.385193
AT5G22470,0.934235,0.1736527,5.3799043
AT5G02330,0.9588059,0.17831096,5.377156
AT2G14440,0.71204245,0.13245893,5.3755713
AT3G62470,0.4680239,0.08712443,5.3719015
AT1G29090,1.2408006,0.23122238,5.366265
AT3G13784,1.1215019,0.20923848,5.3599215
AT5G41090,0.7715018,0.1441571,5.3518124
AT1G58050,0.57617086,0.107749544,5.347316
AT3G18570,0.97480667,0.18238427,5.344795
AT5G48130,0.49826497,0.09322957,5.3444943
AT5G46520,0.75174564,0.14071329,5.342392
AT3G55200,0.43901342,0.082203,5.3406005
AT3G45280,0.85242915,0.1599196,5.33036
AT2G03680,0.2752001,0.05163868,5.329339
AT4G03570,0.696088,0.13061868,5.3291607
AT3G26480,0.75887084,0.14243793,5.327729
AT2G21030,0.80402285,0.15111633,5.320555
AT5G54000,0.7619856,0.14326823,5.318594
AT1G52370,0.29332742,0.0551838,5.315461
AT4G09300,0.89234924,0.167998,5.3116655
AT1G43140,0.66451496,0.12511404,5.3112736
AT4G13560,0.91029924,0.17155387,5.3062
AT1G20590,1.0443442,0.19683969,5.305557
AT1G65370,0.98972136,0.18663481,5.3029833
AT5G03360,0.9142249,0.17240494,5.3027763
AT1G29550,0.37821063,0.07134634,5.301051
AT3G46610,0.38542268,0.07271446,5.3004947
AT4G31830,1.1756594,0.22187209,5.2988157
AT2G20810,0.3414696,0.06445983,5.2974005
AT3G57440,0.8257,0.15601301,5.2925067
AT5G60320,0.76069266,0.14378063,5.290647
AT5G64210,0.83971554,0.15876156,5.289161
AT3G47750,0.6200121,0.11730306,5.2855577
AT4G11880,0.7792494,0.14784688,5.2706513
AT2G46870,0.45843077,0.08708748,5.2640257
AT1G15150,0.92068475,0.17491996,5.2634625
AT3G53280,0.49004588,0.09321811,5.256981
AT5G52290,0.7006141,0.13328017,5.256701
AT1G62900,0.95126694,0.18113305,5.2517576
AT3G16610,0.7074334,0.13476828,5.249257
AT5G62490,1.1055515,0.21068719,5.2473593
AT4G33830,0.3965814,0.075670265,5.2409143
AT2G25340,0.6529245,0.12461566,5.2395053
AT3G29410,0.76364285,0.14579651,5.23773
AT1G06220,0.24993801,0.04772619,5.2369137
AT2G16190,0.72511435,0.13852747,5.234444
AT1G04625,0.68301696,0.13059376,5.230088
AT5G26190,0.6998894,0.13391937,5.226199
AT5G27290,0.44179416,0.08456619,5.2242403
AT1G55550,0.5167212,0.09901868,5.218421
AT2G07751,1.5602372,0.2990182,5.217867
AT5G45540,0.599572,0.11493674,5.216539
AT3G14670,0.95805675,0.1836826,5.215827
AT1G54250,0.43938893,0.0842421,5.2157874
AT5G18580,0.28991684,0.055638816,5.210693
AT3G60700,0.9430862,0.18103634,5.209375
AT3G51420,0.42124334,0.08095856,5.2031965
AT3G31910,0.5141519,0.09897682,5.1946692
AT4G02950,0.94442296,0.18180852,5.194602
AT5G56910,0.48919445,0.09423424,5.1912594
AT2G25540,0.69817287,0.13449043,5.191245
AT1G44030,0.6224217,0.11992722,5.189995
AT2G33050,0.8097108,0.15607186,5.1880636
AT2G01730,0.64563125,0.12448153,5.1865625
AT1G27990,1.0532211,0.20309988,5.1857295
AT1G31460,0.48507458,0.093732044,5.1751194
AT4G19220,0.5263198,0.10178943,5.170672
AT4G27960,0.2759599,0.05338429,5.169308
AT5G55470,0.564444,0.10922161,5.167878
AT5G42350,0.31443852,0.060888562,5.164163
AT1G16490,0.7255394,0.14054674,5.1622634
AT1G79960,0.7204071,0.13974918,5.155
AT5G48485,1.1317861,0.21956092,5.15477
AT4G08350,0.2121795,0.04119597,5.1504903
AT1G06990,0.63201666,0.12277829,5.1476254
AT1G61180,0.51274633,0.099633254,5.146337
AT3G53130,0.30536938,0.05935759,5.144571
AT5G06250,0.84178054,0.16382039,5.1384354
AT3G50180,0.59452003,0.11578194,5.1348248
AT1G32080,0.3873037,0.07547098,5.1318226
AT4G15950,0.47201344,0.09204363,5.1281486
AT5G50770,0.7456929,0.14557835,5.122278
AT5G11180,0.62066317,0.12118109,5.121782
AT3G24140,0.34992778,0.068465725,5.1109915
AT1G29770,0.78921294,0.15445128,5.109785
AT2G03710,0.7285922,0.14281735,5.1015663
AT5G35760,1.0171794,0.19946386,5.099567
AT5G28560,0.77774566,0.15257666,5.097409
AT1G48470,0.9234613,0.1811977,5.096429
AT1G20870,0.5591127,0.1097421,5.0947876
AT1G69820,0.47689173,0.093617395,5.09405
AT2G15050,0.6258081,0.12285472,5.0938873
AT4G07670,0.6135956,0.12052027,5.091223
AT1G48490,0.31436822,0.061800994,5.0867815
AT4G24660,0.5134838,0.10105188,5.0813875
AT5G45070,0.9800586,0.19299343,5.0781965
AT4G19510,0.5153856,0.10149246,5.078068
AT2G42830,0.69241875,0.1363601,5.077869
AT2G26580,0.3750418,0.07390131,5.0749
AT5G45680,0.39066434,0.077000566,5.073525
AT2G28680,0.7538682,0.14863539,5.071929
AT2G36640,1.0162003,0.20038153,5.0713267
AT1G09980,0.3146844,0.062057693,5.070835
AT1G77980,0.49083817,0.09680449,5.0704064
AT3G19230,0.67791754,0.13378961,5.067041
AT3G30230,0.4843381,0.095617585,5.0653663
AT4G18390,0.57120174,0.11285087,5.0615625
AT5G46260,0.7524463,0.14868324,5.0607333
AT2G40220,0.72226065,0.14295387,5.052403
AT4G02720,0.5089249,0.10076097,5.0508137
AT2G14920,0.69838417,0.13835207,5.047876
AT2G42000,0.8766781,0.1737754,5.0448914
